PH,EC,TDS,ALK,TH,F,CL,NO3,SO4,CA,MG,qi_wi,EWQI,EWQI_CLASSIF
83.33333333333333,1696.6666666666667,341.0,608.3333333333334,150.0,186.66666666666666,383.6,53.333333333333336,138.4,106.66666666666667,200.0,307.65592401280924,307.65592401280924,Unsuitable
82.00000000000003,4736.666666666667,952.1,691.6666666666666,433.3333333333333,442.6666666666667,1349.2,3555.5555555555557,516.0,240.0,690.0,1274.5335975076136,1274.5335975076136,Unsuitable
78.0,228.33333333333334,45.9,208.33333333333334,73.33333333333333,29.333333333333332,20.0,4.444444444444445,0.8,69.33333333333333,73.33333333333333,59.09570806688294,59.09570806688294,Poor
79.3333333333333,3553.3333333333335,714.2,675.0,266.6666666666667,746.6666666666666,994.0,71.11111111111111,177.2,186.66666666666666,363.3333333333333,636.4248482025799,636.4248482025799,Unsuitable
68.66666666666663,433.3333333333333,87.1,208.33333333333334,93.33333333333333,33.333333333333336,34.0,511.1111111111111,68.4,85.33333333333333,96.66666666666667,151.4483136840464,151.4483136840464,Unsuitable
78.66666666666664,1407.3333333333333,282.9,375.0,153.33333333333334,37.333333333333336,403.2,6.666666666666667,94.0,85.33333333333333,243.33333333333334,258.93062846341684,258.93062846341684,Unsuitable
73.99999999999996,364.6666666666667,73.3,416.6666666666667,216.66666666666666,59.333333333333336,102.4,222.22222222222223,8.0,138.66666666666666,316.6666666666667,153.27369593909074,153.27369593909074,Unsuitable
83.99999999999999,1311.3333333333333,263.6,333.3333333333333,206.66666666666666,186.66666666666666,397.6,255.55555555555554,18.4,64.0,406.6666666666667,295.80025563972845,295.80025563972845,Unsuitable
75.33333333333339,876.0,176.1,266.6666666666667,300.0,30.0,250.0,151.11111111111111,12.0,330.6666666666667,226.66666666666666,218.56020726854925,218.56020726854925,Unsuitable
78.66666666666664,884.6666666666666,177.8,196.66666666666666,120.0,46.666666666666664,232.8,6.666666666666667,98.0,106.66666666666667,130.0,172.41260457944014,172.41260457944014,Unsuitable
59.333333333333314,432.3333333333333,86.899,216.66666666666666,116.66666666666667,38.666666666666664,68.0,57.77777777777778,24.8,85.33333333333333,136.66666666666666,101.45515105292594,101.45515105292594,Unsuitable
53.33333333333332,377.3333333333333,75.8,183.33333333333334,113.33333333333333,8.666666666666666,62.4,124.44444444444444,50.8,74.66666666666667,163.33333333333334,104.13376568530057,104.13376568530057,Unsuitable
85.3333333333333,520.3333333333334,104.6,158.33333333333334,156.66666666666666,8.0,156.4,40.0,9.2,64.0,300.0,133.31940370477236,133.31940370477236,Unsuitable
73.99999999999996,800.3333333333334,160.9,133.33333333333334,200.0,33.333333333333336,198.8,377.77777777777777,75.2,106.66666666666667,323.3333333333333,220.1468394314757,220.1468394314757,Unsuitable
58.66666666666666,315.3333333333333,63.4,200.0,96.66666666666667,17.333333333333332,28.4,91.11111111111111,31.6,42.666666666666664,170.0,86.30395547142119,86.30395547142119,Very Poor
85.3333333333333,1187.0,238.6,425.0,213.33333333333334,28.666666666666668,335.2,20.0,16.8,85.33333333333333,390.0,240.21389573227972,240.21389573227972,Unsuitable
76.00000000000004,3813.3333333333335,766.5,583.3333333333334,383.3333333333333,58.666666666666664,1235.6,544.4444444444445,366.4,106.66666666666667,770.0,762.344373134157,762.344373134157,Unsuitable
41.33333333333334,1430.6666666666667,287.6,141.66666666666666,413.3333333333333,10.0,420.4,466.6666666666667,113.2,74.66666666666667,893.3333333333334,379.40237503748597,379.40237503748597,Unsuitable
98.00000000000004,761.3333333333334,153.0,708.3333333333334,40.0,76.66666666666666,62.4,77.77777777777777,20.0,53.333333333333336,16.666666666666668,136.4358248760404,136.4358248760404,Unsuitable
75.33333333333339,176.0,35.4,183.33333333333334,66.66666666666667,23.333333333333332,11.2,31.11111111111111,16.0,48.0,90.0,55.988484327794296,55.988484327794296,Poor
54.666666666666686,563.3333333333334,113.2,141.66666666666666,140.0,26.666666666666668,136.4,288.8888888888889,22.8,96.0,193.33333333333334,154.18268460332803,154.18268460332803,Unsuitable
47.99999999999998,496.0,99.7,141.66666666666666,196.66666666666666,20.666666666666668,108.0,333.3333333333333,27.6,149.33333333333334,250.0,161.050314929039,161.050314929039,Unsuitable
51.33333333333331,1052.3333333333333,211.5,200.0,246.66666666666666,22.666666666666668,250.0,533.3333333333334,91.6,149.33333333333334,373.3333333333333,279.430670702125,279.430670702125,Unsuitable
58.00000000000001,916.3333333333334,184.2,58.333333333333336,66.66666666666667,32.0,301.2,40.0,47.6,96.0,16.666666666666668,161.51399567676305,161.51399567676305,Unsuitable
85.3333333333333,582.0,117.0,408.3333333333333,83.33333333333333,16.666666666666668,96.4,68.88888888888889,5.2,74.66666666666667,90.0,118.81921140614143,118.81921140614143,Unsuitable
76.66666666666669,326.3333333333333,65.6,208.33333333333334,86.66666666666667,13.333333333333334,25.6,166.66666666666666,32.8,37.333333333333336,153.33333333333334,96.03109400169572,96.03109400169572,Very Poor
66.00000000000001,112.66666666666667,22.6,125.0,50.0,13.333333333333334,5.6,17.77777777777778,5.6,48.0,80.0,40.968339703237184,40.968339703237184,Good
53.33333333333332,796.6666666666666,160.1,58.333333333333336,240.0,26.666666666666668,272.0,422.22222222222223,26.0,165.33333333333334,333.3333333333333,232.45655659437335,232.45655659437335,Unsuitable
